transaction,announced,closed,type,role,target,buyer,seller,rounds,round_type,valuation_pre,valuation_post,ammount,raised,corporation
IQTR39333074,2007-12-04,2007-12-04,Merger/Acquisition,Seller,Silver Fern Shipping Limited,ASP Ship Management Pty. Ltd.,BP PLC (LSE:BP.); Chevron Corporation (NYSE:CVX); Exxon Mobil Corporation (NYSE:XOM); Royal Dutch Shell plc (ENXTAM:RDSA),0,,0,0,0,0,Exxon
IQTR82843397,2007-11-13,2007-07-31,Merger/Acquisition,Seller,East Cameron 334/335 Field in the Gulf of Mexico,Energy XXI (Bermuda) Limited (nka:Energy XXI Ltd),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,3500,0,Exxon
IQTR38945552,2007-11-12,2007-11-12,Merger/Acquisition,Seller,Saudi Arabian Lubricating Oil Company (nka:Petromin Corporation),Al Dabbagh Group Holding Company Limited; Gulf Oil International UK Limited,Exxon Mobil Corporation (NYSE:XOM); Saudi Arabian Oil Company (SASE:2222),0,,0,0,200000,0,Exxon
IQTR35051308,2007-06-15,2007-06-15,Merger/Acquisition,Seller,"Exxon Mobil Corp., Wax Emulsion Plant",H&R Wasag AG (nka:H&R GmbH & Co. KGaA (XTRA:2HRA)),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR116895832,2007-04-27,2007-03-15,Merger/Acquisition,Seller,"Petroleum Product Terminals in Green Bay, Madison, and Milwaukee","Buckeye Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,15160,0,Exxon
IQTR34258876,2007-04-18,2007-08-30,Merger/Acquisition,Seller,Superior Oil (U.K.) Ltd.,Perenco Gabon SA,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR59693010,2007-02-26,2007-06-27,Merger/Acquisition,Seller,"Cerro Negro Finance, Ltd.","Petróleos de Venezuela, S.A.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR116890979,2007-01-26,2007-01-16,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Two Petroleum Product Terminals","Buckeye Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,22040,0,Exxon
IQTR30637558,2006-12-12,,Merger/Acquisition,Seller,Oy Esso ab,Suomen Osuuskauppojen Keskuskunta Oy,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR34166501,2006-10-10,2007-04-16,Merger/Acquisition,Seller,Mobil Oil Gabon (nka:Tamoil Gabon),Oilinvest (Netherlands) B.V.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR225550936,2006-08-31,2006-08-31,Merger/Acquisition,Seller,Conroe Field,"Wapiti Energy, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR27510146,2006-06-02,2006-06-02,Merger/Acquisition,Seller,"Exxon Mobil Corp., 80 Gasoline Stations In Peru",Refinería La Pampilla S.A.A. (BVL:RELAPAC1),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,35000,0,Exxon
IQTR27142660,2006-04-27,2006-04-27,Merger/Acquisition,Seller,Parque das Conchas,Shell Brasil Ltda. (nka:Raízen Combustíveis S.A.),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR34586078,2006-04-26,2006-04-26,Merger/Acquisition,Seller,Gas Field in Aceh,"Japan Petroleum Exploration Co., Ltd. (TSE:1662); Premier Oil Natuna Sea B.V.; PT Medco Energi Internasional Tbk (IDX:MEDC)",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,51000,0,Exxon
