"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"ROC41451911","BOEING ROMANIA OPERATIONS S.R.L.","RO","ORAS OTOPENI","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61362","BOEING RUSSIA INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61454","BOEING SALES CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC123100122L","BOEING SATELLITE SYSTEM","US","EL SEGUNDO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC123100157L","BOEING SATELLITE SYSTEM BOEIES","US","EL SEGUNDO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC123512435L","BOEING SATELLITE SYSTEMS","US","LOS ANGELES","n.a.","n.a.","n.a.","n.a.","n.a."
"USC229430243L","BOEING SATELLITE SYSTEMS","US","EL SEGUNDO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132428018L","BOEING SATELLITE SYSTEMS","US","HERNDON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149190216L","BOEING SATELLITE SYSTEMS INTERNATIONAL INC","US","EL SEGUNDO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC239350373L","BOEING SEATTLE","US","AUBURN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC133358727L","BOEING SERVICE CO","US","CHANTILLY","153","n.a.","36","n.a.","n.a."
"USC129050069L","BOEING SERVICE CO","US","RICHARDSON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132313257L","BOEING SERVICES CO","US","CHANTILLY","n.a.","n.a.","n.a.","n.a.","n.a."
"DEC5190578120","BOEING SERVICES DEUTSCHLAND GMBH","DE","KÖLN","25","n.a.","n.a.","n.a.","n.a."
"USC129045764L","BOEING SERVICES DIVISION","US","CORINTH","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC2-61326","BOEING SHANGHAI AVIATION FLIGHT TRAINING CO LTD","CN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC273133004L","BOEING SHARED SERVICE GROUP","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC242323310L","BOEING SHARED SERVICES - PUGET SOUND","US","BELLEVUE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131857202L","BOEING SHARED SERVICES GROUP","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"SGC201204874E","BOEING SINGAPORE PTE. LTD.","SG","SINGAPORE","n.a.","578","94","236","5"
"SGC200509391M","BOEING SINGAPORE TRAINING AND FLIGHT SERVICES PTE. LTD.","SG","SINGAPORE","n.a.","104","31","90","6"
"USC132225089L","BOEING SMIS MISSION SYSTEM","US","YORKTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149100402L","BOEING SPACE & DEFENSE GROUP","US","KENT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149100432L","BOEING SPACE & DEFENSE GROUP - MILITARY AIRPLANES DIVISION","US","TUKWILA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC142011325L","BOEING SPACE & INTELLIGENCE SYSTEMS","US","SEAL BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC144134658L","BOEING SPACE & INTELLIGENT SYSTEM","US","BANGOR","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129756887L","BOEING SPACE CENTER","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC130931521L","BOEING SPACE OPERATIONS CO","US","TITUSVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC138636313L","BOEING SPACE SYSTEMS INTERNATIONAL SERVICE CO","US","BOSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131857196L","BOEING SPARES","US","SEATAC","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131970397L","BOEING SSG - CPA","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC164667051L","BOEING SSPN","US","TUKWILA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132283201L","BOEING STORES INC","US","TUKWILA","n.a.","n.a.","n.a.","n.a.","n.a."
"SEC5569200388","BOEING SWEDEN AB","SE","GÖTEBORG","2","66","6","21","1"
"SEC5567044291","BOEING SWEDEN HOLDINGS AB","SE","GÖTEBORG","n.a.","136","n.a.","136","0"
"GBC03425142","BOEING TECHNICAL SERVICES UK LIMITED","GB","WELWYN GARDEN CITY","201","18","24","14","3"
"USC132283208L","BOEING TECHNOLOGY INTERNATIONAL INC","US","TUKWILA","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132643832L","BOEING TORONTO","CA","GUELPH","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132619553L","BOEING TORONTO LTD","CA","MISSISSAUGA","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC149190470L","BOEING TORONTO LTD","CA","MISSISSAUGA","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC104259270","BOEING TRAINING & FLIGHT SERVICES AUSTRALIA PTY LIMITED","AU","SYDNEY","15","696","475","450","n.a."
"USC132108870L","BOEING TRAINING & FLIGHT SERVICES LLC","US","RENTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61337","BOEING TRAINING LEASING CORP","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC125763137L","BOEING TRAVEL","US","HAZELWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149107968L","BOEING TRAVEL MANAGEMENT CO","US","HAZELWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149278809L","BOEING TUKWILA BUILDING","US","TUKWILA","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC09463377","BOEING UK HOLDINGS LIMITED","GB","LONDON","n.a.","0","n.a.","0","9"
"GBC03805580","BOEING UK TRAINING AND FLIGHT SERVICES HOLDING LIMITED","GB","CRAWLEY","n.a.","88","n.a.","70","0"
"GBC03802219","BOEING UK TRAINING AND FLIGHT SERVICES LIMITED","GB","CRAWLEY","82","133","39","103","11"
"GBC04355070","BOEING UNITED KINGDOM LIMITED","GB","LONDON","193","288","67","260","5"
"USC209578758L","BOEING US TRAINING & FLIGHT SERVICES LLC","US","RENTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61339","BOEING US TRAINING AND FLIGHT SERVICES LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC136854734L","BOEING VOLVO AERO SERVICES","US","KENT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC166366158L","BOEING WA","US","RENTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131944721L","BOEING WILLIAM E JR ENTERPRISES","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC149145716L","BOEING WINNIPEG","CA","WINNIPEG","n.a.","n.a.","n.a.","n.a.","n.a."
"BMC24313R","BOEING WORLDWIDE OPERATIONS LIMITED","BM",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC129050070L","BOEING-OAK RIDGE CO","US","OAK RIDGE","n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110188471518","C- MAP COMMERCIAL LTD","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61341","CBSA LEASING II INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61342","CBSA LEASING INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61343","CBSA PARTNERS LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC124352124L","CDM TECHNOLOGIES INC","US","SAN LUIS OBISPO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC317525477L","CDM TECHNOLOGY CORP","US","DEL MAR","n.a.","n.a.","n.a.","n.a.","n.a."
"USC320504849L","CDM TECHNOLOGY LLC","US","TUJUNGA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132898057L","C-MAP COMMERCIAL LTD","US","MASHPEE","n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110187805387","C-MAP GREECE MEPE","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"INC0000400915","C-MAP INDIA PRIVATE LIMITED","IN","PUNE","n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110187805388","C-MAP INDIA PRIVATE LTD","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110188471519","C-MAP JAPAN K.K","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC125826042L","C-MAP USA INC","US","MASHPEE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61388","COHERENT SYSTEMS INTERNATIONAL LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC149190217L","CONNEXION BY BOEING","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"IEC336329","CONNEXION BY BOEING IRELAND LIMITED","IE","DUBLIN","n.a.","0","n.a.","0","0"
"CAC2-61322","CONNEXION BY BOEING OF CANADA COMPANY","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC132872888L","CONTINENTAL DATA GRAPHICS","US","EL SEGUNDO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC150321996L","CONTINENTAL DATA GRAPHICS","US","SAN DIEGO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC123626570L","CONTINENTAL DATA GRAPHICS CORP","US","LONG BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC241126370L","CONTINENTAL DATAGRAPHICS","US","LONG BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC141220334L","CONTINENTAL DATAGRAPHICS","US","LA CRESCENTA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC136809777L","CONTINENTAL DATAGRAPHICS","US","CYPRESS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC256828934L","CONTINENTAL GRAPHICS CORP","US","LONG BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61391","CONTINENTAL GRAPHICS HOLDINGS INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BMC25301R","COUGAR, LTD.","BM",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC137820196L","CPU TECHNOLOGY INC","US","PLEASANTON","n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110187805390","CRUISE L.I.C.","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"RUC2-61495","CRUISE LLC","RU",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC126049249L","DIGITAL RECEIVER TECHNOLOGY INC","US","GERMANTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61393","DILLON INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61520","DOUGLAS EXPRESS LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61519","DOUGLAS FEDERAL LEASING LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC161050245L","DOUGLAS LEASING INC","US","BETHEL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61518","FALCON II LEASING LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61517","FALCON LEASING LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC125713505L","FEDERATED SOFTWARE GROUP INC","US","SAINT LOUIS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC134690494L","FLIGHTSAFETY BOEING TRAINING INTERNATIONAL","US","SEATTLE","n.a.","n.a.","1","n.a.","n.a."
"USC242032172L","FOREFLIGHT LLC","US","HOUSTON","200","n.a.","2","n.a.","n.a."
"USC133050999L","GLOBAL AERONAUTICA","US","NORTH CHARLESTON","2","n.a.","0","n.a.","n.a."
"USC133348263L","GLOBAL AERONAUTICA LLC","US","NORTH CHARLESTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC253964294L","GUY BROWN BOEING CO","US","SEATTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61395","HANWAY CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC288254411L","HAWK LEASING INC","US","NORTH CHARLESTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC305778599L","HERNDON AEROSPACE & DEFENSE LLC","US","O FALLON","1","n.a.","0","n.a.","n.a."
"USC*110175522773","HERNDON PRODUCTS HOLDING CORPORATION","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110175522774","HERNDON PRODUCTS, LLC","US","MISSOURI","n.a.","n.a.","n.a.","n.a.","n.a."
"USC134295061L","HRL LABORATORIES LLC","US","MALIBU","300","n.a.","262","n.a.","n.a."
"USC288059306L","ILS EBUSINESS SERVICES INC","US","CHICAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC265489136L","INSITU","US","HOOD RIVER","n.a.","n.a.","n.a.","n.a.","n.a."
"USC201241293L","INSITU","US","STEVENSON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC201241287L","INSITU","US","THE DALLES","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132246185L","INSITU GROUP","US","BINGEN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC134584571L","INSITU INC","US","BINGEN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC136755527L","INSITU INC","US","BINGEN","n.a.","n.a.","375","n.a.","n.a."
"USC249629882L","INSITU LOGISTICS CENTER","US","STEVENSON","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC122991333","INSITU PACIFIC PTY LTD","AU","SYDNEY","51","40","42","21","2"
"USC*1709988272","INTERTURBINE LOGISTICS SOLUTIONS LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC*110015654774","INTERTURBINE TIANJIN LIMITED","CN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110015654769","INTERTURBINE, LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC128961247L","INVENTORY LOCATOR SERVICE INC","US","CORDOVA","n.a.","n.a.","n.a.","n.a.","n.a."
