"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR554115467",Feb-26-2018,Feb-26-2018,"Private Placement","Buyer","JFFLabs","Walmart Inc. (NYSE:WMT)",,1,"Venture","-","-","  3.0 ","  3.0 "
"IQTR540152391",Oct-10-2017,"-","Buyback","Target","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,"-","-","-","-","  20,000.0 ","-"
"IQTR539429610",Oct-03-2017,Sep-29-2017,"Merger/Acquisition","Buyer","Parcel Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Great Oaks Venture Capital LLC","-","-","-","-","-","-"
"IQTR434528369",Jun-16-2017,Jun-30-2017,"Merger/Acquisition","Buyer","Bonobos, Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Coppel Capital, S.A. de C.V.; Felicis Ventures; Forerunner Ventures; Glynn Capital Management; Lightspeed Venture Partners; Mousse Partners; Nordstrom, Inc. (NYSE:JWN); Otter Rock Capital; Peterson Ventures, LLC; Signatures Capital, LLC; Westech Investment Advisors, LLC Seller Funds: Forerunner Partners I L.P.","-","-","-","-","  310.0 ","-"
"IQTR406460402",Oct-20-2016,"-","Private Placement","Buyer","New Dada","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,4,"Venture","-","-","  50.0 ","  450.0 "
"IQTR379317955",Aug-08-2016,Sep-19-2016,"Merger/Acquisition","Buyer","Jet.com, Inc.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Alibaba Capital Partners; Bain Capital Ventures; Citi Ventures, Inc.; Coatue Management, L.L.C.; Fidelity Investments; Forerunner Ventures; General Catalyst Partners; GV; MentorTech Ventures; New Enterprise Associates, Inc.; Norwest Venture Partners; Primary Venture Partners; Silicon Valley BancVentures, Inc.; SVB Silicon Valley Bank, Investment Arm; Temasek Holdings (Private) Limited; Thrive Capital; West Street Capital Partners; Westech Investment Advisors, LLC Seller Funds: Forerunner Partners II, L.P.","-","-","-","-","  3,300.0 ","-"
"IQTR367041276",Jun-20-2016,Jun-20-2016,"Merger/Acquisition","Seller","Niuhai E-commerce (Shanghai) Co., Ltd.","JD.com, Inc. (NasdaqGS:JD)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","  2,917.89 ","-"
"IQTR365882370",Jun-15-2016,Jun-30-2016,"Merger/Acquisition","Seller","Wal-Mart Stores, Inc., 25 Walmart Express Stores","Brookshire Grocery Company","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","-","-"
"IQTR342436586",May-19-2016,May-19-2016,"Merger/Acquisition","Seller","5.3 acres of land in Southern California","Evergreen Devco, Inc.; Trachman Indevco, LLC","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","-","-"
"IQTR318218475",Nov-18-2015,"-","Merger/Acquisition","Buyer","21 Wal Mart Stores","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","China Resources SZITIC Trust Co., Ltd","-","-","-","-","  516.93 ","-"
"IQTR314088641",Oct-14-2015,"-","Buyback","Target","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,"-","-","-","-","  17,800.0 ","-"
"IQTR307426973",Jul-23-2015,Jul-23-2015,"Merger/Acquisition","Buyer","Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)","-","-","-","-","  760.0 ","-"
"IQTR285554844",Feb-17-2015,Feb-17-2015,"Merger/Acquisition","Seller","A Plot of Land Located 75 miles Northwest of Atlanta","Sansone Group LLC","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","  0.83 ","-"
"IQTR268844086",Jun-30-2014,Jun-30-2014,"Private Placement","Buyer","Walmart India Pvt.Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,3,"Growth","-","-","  103.28 ","  351.38 "
"IQTR269896992",Apr-07-2014,Apr-07-2014,"Private Placement","Buyer","Walmart India Pvt.Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,2,"Growth","-","-","  220.93 ","  248.1 "
