"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"SEC5561032607","DANISCO CULTOR SWEDEN AB","SE","SÖDERKÖPING","4","6","2","5","0"
"BRC01034824000145","DANISCO CULTOR TRADING LTDA","BR","COTIA","8","n.a.","3","n.a.","n.a."
"CZC61858501","DANISCO CZECH REPUBLIC, A.S.","CZ","SMIRICE","n.a.","57","57","30","5"
"DEC2090141629","DANISCO DEUTSCHLAND GMBH","DE","NIEBÜLL","245","140","183","99","28"
"TRC1343351F","DANISCO DIS TICARET LTD STI","TR","MASLAK","n.a.","n.a.","n.a.","n.a.","n.a."
"EGC0014672735","DANISCO EGYPT TRADING L.L.C","EG","CAIRO","n.a.","n.a.","n.a.","n.a.","n.a."
"IEC178430","DANISCO FINANCE PUBLIC LIMITED COMPANY","IE","DUBLIN","3","0","n.a.","0","0"
"BEC*110175547871","DANISCO FLEXIBLE BELGIUM B.V.B.A.","BE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BRC03096323000119","DANISCO FLEXIBLE BRASIL LTDA.","BR","COTIA","8","n.a.","4","n.a.","n.a."
"DEC*110175547872","DANISCO FLEXIBLE DEUTSCHLAND GMBH","DE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESC*110175547873","DANISCO FLEXIBLE ESPANA SA","ES",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FIC*110175547874","DANISCO FLEXIBLE FINLAND OY","FI",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NLC*110175547876","DANISCO FLEXIBLE NEDERLAND B.V.","NL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"PTC*110175547877","DANISCO FLEXIBLE NEOCEL EMBALAGENS LDA.","PT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110175547878","DANISCO FLEXIBLE NORGE AS","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SEC*110175547879","DANISCO FLEXIBLE SVERIGE AB","SE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC398330753","DANISCO FOODS","FR","PARIS","n.a.","2","0","2","0"
"SEC*110175547892","DANISCO FOODS AB","SE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESC*110175547897","DANISCO FOODS S.A.","ES",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SKC*110175547895","DANISCO FOODS SLOVENSKO","SK",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CZC*110175547896","DANISCO FOODS SPOL S.R.O.","CZ",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC402674329","DANISCO FRANCE","FR","PARIS","545","535","312","441","45"
"FRC*110175547851","DANISCO GRASSE SAS","FR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GTC279874661241","DANISCO GUATEMALA","GT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SEC*110175547857","DANISCO HOLDING SVERIGE AB","SE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC*311764387","DANISCO HOLDING USA INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC01798759","DANISCO HOLDINGS (UK) LIMITED","GB","MARLBOROUGH","n.a.","13","n.a.","12","0"
"NLC24099209","DANISCO HOLLAND B.V.","NL","DORDRECHT","10","7","n.a.","6","n.a."
"USC143899625L","DANISCO INGREDIENTS","US","NEW CENTURY","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC*110158205080","DANISCO INGREDIENTS (SHANGHAI) CO. LTD.","CN","SHANGHAI","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132622652L","DANISCO INGREDIENTS CANADA","CA","MONTREAL","n.a.","n.a.","n.a.","n.a.","n.a."
"FRC300573698","DANISCO INGREDIENTS FRANCE","FR","PARIS","2","11","1","5","-5"
"JPC2010001138910","DANISCO JAPAN LIMITED","JP","CHIYODA-KU","37","70","127","22","3"
"MYC105619-P","DANISCO MALAYSIA SDN BHD","MY","PENANG","n.a.","115","112","77","4"
"MXCDME841130T45","DANISCO MEXICO SA DE CV","MX","TECOMAN","254","n.a.","n.a.","n.a.","n.a."
"NZC9429036804955","DANISCO NEW ZEALAND LIMITED","NZ","EAST TAMAKI","n.a.","11","16","7","0"
"DEC*110175547850","DANISCO NIEBULL GMBH","DE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESC*110019311492","DANISCO NUTRITION AND BIOSCIENCES IBERICA, S.L.","ES",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110175547888","DANISCO PACK (UK) LTD.","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110175547889","DANISCO PAPER LTD.","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"PEC20509767263","DANISCO PERU SAC","PE","SANTIAGO DE SURCO","7","n.a.","5","n.a.","n.a."
"PLC631111573","DANISCO POLAND SP. Z O.O.","PL","POZNAN","14","8","22","2","1"
"ATC*313373314","DANISCO SEED AUSTRIA GMBH","AT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"DEC*110175547864","DANISCO SEED GMBH","DE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ITC*110175547865","DANISCO SEED ITALIA SPA","IT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"PLC*110175547866","DANISCO SEED POLAND SP ZOO","PL",,"n.a.","n.a.","n.a.","n.a.","n.a."
