"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"SGC201423638R","FLIPPAY PRIVATE LIMITED","SG","SINGAPORE","n.a.","15","0","15","0"
"GBC05967526","FORZA AW LIMITED","GB","NORMANTON","3","15","0","15","0"
"GBC07224571","FORZA FOODS LIMITED","GB","NORMANTON","1,587","117","335","77","5"
"ZAC201002500007","FRESH FOOD DIRECT (PTY) LTD","ZA","SANDTON","700","2,493","73","n.a.","n.a."
"CNC9366686476","FUJIAN TRUST-MART DEPARTMENT STORE COMMERCIAL PLAZA CO., LTD.","CN","QUANZHOU","n.a.","3","10","n.a.","n.a."
"CNC9361286069","FUQING TRUST-MART DEPARTMENT STORES AND COMMERCIAL PLAZA CO., LTD.","CN","FUQING, FUZHOU","n.a.","28","52","n.a.","n.a."
"CNC9361291520","FUZHOU CHENGDA LIMING DEPARTMENT STORE CO., LTD.","CN","FUZHOU CITY","n.a.","4","42","n.a.","n.a."
"CNC9361279169","FUZHOU TRUST-MART DEPARTMENT STORE CO., LTD.","CN","FUZHOU","n.a.","19","78","n.a.","n.a."
"ZAC198806000207","GADI'S CASH AND CARRY (PTY) LTD","ZA","SANDTON","50","n.a.","n.a.","n.a.","n.a."
"GHCCS002832016","GAME DISCOUNT WORLD (GHANA) LIMITED","GH","ACCRA","n.a.","n.a.","n.a.","n.a.","n.a."
"KECC100769","GAME DISCOUNT WORLD (KENYA) LIMITED","KE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"LSC2-6976","GAME DISCOUNT WORLD (LESOTHO) (PTY) LTD","LS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"MUC0000502996","GAME DISCOUNT WORLD (MAURITIUS) LTD","MU","FLOREAL","50","n.a.","n.a.","n.a.","n.a."
"MZC2-10329","GAME DISCOUNT WORLD (MOZAMBIQUE) LTD","MZ","MAPUTO","n.a.","n.a.","n.a.","n.a.","n.a."
"NAC0001024072","GAME DISCOUNT WORLD (NAMIBIA) (PROPRIETARY) LIMITED","NA","WINDHOEK","76","n.a.","n.a.","n.a.","n.a."
"NGC2-10332","GAME DISCOUNT WORLD (NIGERIA) LTD","NG","LAGOS","n.a.","n.a.","n.a.","n.a.","n.a."
"UGC80010002477648","GAME DISCOUNT WORLD (UGANDA) LIMITED","UG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BWC0000041422","GAME DISCOUNT WORLD BOTSWANA (PTY) LTD","BW","BOTSWANA","n.a.","n.a.","n.a.","n.a.","n.a."
"MWC2-13890","GAME DISCOUNT WORLD LTD (MALAWI)","MW",,"n.a.","n.a.","n.a.","n.a.","n.a."
"TZC0000466803","GAME DISCOUNT WORLD TANZANIA LTD","TZ","DAR ES SALAAM","n.a.","n.a.","n.a.","n.a.","n.a."
"ZWC0000032135","GAME DISCOUNT WORLD ZIMBABWE PTY LTD","ZW",,"n.a.","n.a.","n.a.","n.a.","n.a."
"AOC2-18208","GAME STORES (ANGOLA) LDA","AO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC192500835207","GAME STORES (PTY) LTD","ZA","JOHANNESBURG","n.a.","n.a.","n.a.","n.a.","n.a."
"CGC2-225197","GAME STORES CONGO SPRL","CG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZMC0000029171","GAME STORES ZAMBIA LIMITED","ZM","LUSAKA","20","n.a.","n.a.","n.a.","n.a."
"SGC201112407M","GEC 1 PTE. LTD.","SG","SINGAPORE","n.a.","0","0","0","0"
"SGC201112406C","GEC 3 PTE. LTD.","SG","SINGAPORE","n.a.","0","0","0","0"
"GBC04007013","GEORGE SOURCING SERVICES UK LIMITED","GB","LEEDS","2","0","2","0","0"
"TRC2063953F","GEORGE TEDARIK HIZMETLERI ANONIM SIRKETI","TR","SISLI","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200800796807","GERDAU TRADING (PTY) LTD","ZA","SUNNINGHILL EXT 6","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC05657484","GLOBAL GEORGE LIMITED","GB","LEEDS","4","5","n.a.","-2","0"
"INC0003388978","GRID ANT TECHNOLOGIES PRIVATE LIMITED","IN","AHMEDABAD","n.a.","n.a.","n.a.","n.a.","n.a."
"LUCLB156470","GRUPO WAL-MART SARL","LU","LUXEMBOURG","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9364637644","GUANGDING INVESTMENT DEVELOP CONSULTATION ( SHANGHAI ) CO.,LTD","CN","SHANGHAI","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9361116191","GUANGZHOU TRUST-MART CO., LTD.","CN","GUANGZHOU","85","53","14","14","0"
"CNC9395283390","GUANGZHOU WAL-MART DEPARTMENT STORE CO., LTD.","CN","GUANGZHOU","n.a.","52","14","18","0"
"ZAC199902084907","HARDING BAKERY (PTY) LTD","ZA","PIETERMARITZBURG","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC199902739507","HARDING LIQUORS (PTY) LTD","ZA","PIETERMARITZBURG","n.a.","n.a.","n.a.","n.a.","n.a."
"USC199964898L","HAYNEEDLE INC","US","OMAHA","1,500","n.a.","3,000","n.a.","n.a."
"ZAC201323496407","HB UNLIMITED OVERS CRICKET (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9389365632","HENAN WAL-MART COMMERCIAL RETAIL CO., LTD.","CN","ZHENGZHOU","n.a.","6","24","n.a.","n.a."
"MXC*110140439392","HF WALT MART SA DE CV","MX","AZCAPOTZALCO","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200201460207","ICC MAYIBUYE (PTY) LTD","ZA","MIDRAND","140","1","20","n.a.","n.a."
"GBC02908634","IMAGEGATE LIMITED","GB","STOCKPORT","n.a.","0","n.a.","0","n.a."
"INC0015097906","INLOGG INTERNET PRIVATE LIMITED","IN","BANGALORE","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCIAL920814N10","INMOBILIARIA ALAGOAS SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"MXCIAN920724K2A","INMOBILIARIA ANTOFAGASTA SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"MXCIAL800130931","INMOBILIARIA AURRERA LOMAS SRL","MX","AZCAPOTZALCO","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCIAU800130TB9","INMOBILIARIA AURRERA UNIVERSIDAD SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"MXCICA910911DG3","INMOBILIARIA CARPI SA DE CV S EN CS","MX","CUAUHTÉMOC","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCITD800201Q80","INMOBILIARIA DE TIENDAS DE DESCUENTO SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"MXCITR861027A48","INMOBILIARIA DE TIENDAS DE ROPA SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"PEC20492151778","INMOBILIARIA DYS PERU SAC","PE","SAN BORJA","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC965750509","INMOBILIARIA HUECHURABA S A","CL","LAS CONDES, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCIAD880314HZ8","INMOBILIARIA Y ARRENDADORA DIQUE SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"MXCIAP8710133S1","INMOBILIARIA Y ARRENDADORA LA PALMA SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"HKC0009089285","IN-POWER NO.1 LIMITED","HK",,"n.a.","n.a.","n.a.","n.a.","n.a."
"HKC0020341352","IN-POWER NO.3 LIMITED","HK",,"196","n.a.","n.a.","n.a.","n.a."
"HKC0021609491","IN-POWER NO.4 LIMITED","HK",,"5","n.a.","n.a.","n.a.","n.a."
"INC0014889432","INSTAKART SERVICES PRIVATE LIMITED","IN","BANGALORE","n.a.","507","646","83","-42"
"INCZEF344644","INT.AI","IN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESCB53905626","INTERNATIONAL PROCUREMENT AND LOGISTICS (SPAIN) SL.","ES","TORRE-PACHECO","20","1","1","0","0"
"GBC05104448","INTERNATIONAL PROCUREMENT AND LOGISTICS LIMITED","GB","LEEDS","2,173","328","882","153","19"
"MXC*190521620752","INTERSALT, S. DE R.L. DE C.V.","MX","CIUDAD DE MEXICO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC760748633","INVERSIONES AUSTRALES CINCO LIMITADA","CL","SANTIAGO","n.a.","n.a.","5","n.a.","n.a."
"CLC76050968K","INVERSIONES AUSTRALES CUATRO LIMITADA","CL","SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC760420050","INVERSIONES AUSTRALES DOS LIMITADA","CL","SANTIAGO","n.a.","n.a.","36","n.a.","n.a."
"CLC760420352","INVERSIONES AUSTRALES UNO LIMITADA","CL","SANTIAGO","n.a.","n.a.","36","n.a.","n.a."
"CLC762643073","INVERSIONES COMERCIALES ALFA LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC762364530","INVERSIONES COMERCIALES PRIMA LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC762017830","INVERSIONES COMERCIALES UNO LTDA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"YYC*918499251","INVERSIONES CORDILLERA LLC","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CLC761590715","INVERSIONES HIPERMERCADOS TRES LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC760238368","INVERSIONES INTERNACIONALES D&S LIMITADA","CL","SANTIAGO","n.a.","n.a.","0","n.a.","n.a."
"CLC*110190661206","INVERSIONES INTERNACIONALES D&S LTDA. Y AFILIADAS","CL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CLC761005804","INVERSIONES NUEVA WALMART CHILE LIMITADA","CL","SANTIAGO","n.a.","n.a.","3","n.a.","n.a."
"CLC591698206","INVERSIONES PACIFICO LLC","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC762006979","INVERSIONES SUPERMERCADOS CUATRO LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC761598953","INVERSIONES SUPERMERCADOS DOS LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC761598910","INVERSIONES SUPERMERCADOS TRES LIMITADA","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"ARC30-70743091-1","INVERSIONES WAL MART ARGENTINA SRL","AR","BUENOS AIRES","n.a.","n.a.","n.a.","n.a.","n.a."
