"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR46616221",Jul-10-2008,Apr-01-2009,"Merger/Acquisition","Buyer","Rohm and Haas Company","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","  18,985.27 ","-"
"IQTR46649456",Jul-07-2008,Apr-01-2009,"Private Placement","Target","DuPont de Nemours, Inc. (NYSE:DD)","Berkshire Hathaway Inc. (NYSE:BRK.A); Kuwait Investment Authority",,1,"PIPE","-","-","  4,000.0 ","  4,000.0 "
"IQTR42373769",Feb-29-2008,Feb-29-2008,"Merger/Acquisition","Seller","Johann Haltermann Ltd.","Monument Chemicals, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR38061319",Feb-19-2008,Nov-29-2007,"Merger/Acquisition","Buyer","Three Companies In Epoxy Business","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
"IQTR41108161",Feb-05-2008,Feb-05-2008,"Merger/Acquisition","Buyer","Sostram Corporation, Protram Marketing & Registration Assets","DuPont de Nemours, Inc. (NYSE:DD)","Sostram Corporation","-","-","-","-","-","-"
"IQTR38971048",Nov-13-2007,Feb-13-2008,"Merger/Acquisition","Buyer","Pacific Plastics (Thailand) Limited","DuPont de Nemours, Inc. (NYSE:DD)","The Siam Cement Public Company Limited (SET:SCC)","-","-","-","-","-","-"
"IQTR37412372",Sep-25-2007,Nov-15-2007,"Merger/Acquisition","Seller","Dow Chemical Co., Ethafoam Business","Sealed Air Corporation (NYSE:SEE)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR37254020",Sep-19-2007,Nov-05-2007,"Merger/Acquisition","Buyer","Edulan A/S","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
"IQTR36688063",Sep-03-2007,Sep-03-2007,"Merger/Acquisition","Seller","Petroquimica Uniao S.A. (nka:Quattor Químicos Básicos S.A.)","Braskem Petroquímica S.A.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  13.56 ","-"
"IQTR36316209",Aug-14-2007,Aug-14-2007,"Merger/Acquisition","Buyer","Kemeta, LLC","DuPont de Nemours, Inc. (NYSE:DD)",,"-","-","-","-","-","-"
