"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"USC191656008L","EXXON MOBIL C","US","COLUMBUS","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132698240L","EXXON MOBIL CANADA","CA","HALIFAX","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC260803682L","EXXON MOBIL CANADA","CA","CARSTAIRS","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC262283978L","EXXON MOBIL CANADA ENERGY","CA","PARADISE HILL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC166997433L","EXXON MOBIL CAT TEC LLC","US","BAYTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC196811031L","EXXON MOBIL CHEM CO","US","CANTONMENT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC258877808L","EXXON MOBIL CHEMICAL CO","US","BAYTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC177070881L","EXXON MOBIL CHEMICAL CO","US","SUWANEE","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC174239451L","EXXON MOBIL CHEMICAL FILMS CANADA LT","CA","BELLEVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC220095344L","EXXON MOBIL CHEMICAL POLYMERS","US","BATON ROUGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC208205610L","EXXON MOBIL CHEMICAL POLYMERS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC165129030L","EXXON MOBIL CO","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC200096292L","EXXON MOBIL CO","US","MACEDON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC222360056L","EXXON MOBIL CO GIS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC223676579L","EXXON MOBIL CO USA","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC223676576L","EXXON MOBIL CO USA","US","AUSTIN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC164869542L","EXXON MOBIL CORP","US","HULL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC193704474L","EXXON MOBIL DEHYDRATION FAC","US","LABARGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC312110741L","EXXON MOBIL DEHYDRATION FAC","US","LA BARGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC253123592L","EXXON MOBIL GAS STATION","US","ROSELLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC297922073L","EXXON MOBIL GAS STATION","US","LAS VEGAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC220027064L","EXXON MOBIL GP3","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC201004599L","EXXON MOBIL INTERNATIONAL HOLDINGS","US","TAMUNING","n.a.","n.a.","n.a.","n.a.","n.a."
"USC169563483L","EXXON MOBIL JOLIET REFINERY","US","JOLIET","n.a.","n.a.","n.a.","n.a.","n.a."
"USC128964598L","EXXON MOBIL LUBE PLANT","US","BEAUMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC220259612L","EXXON MOBIL LUBE PLANT","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC291172697L","EXXON MOBIL LUBRICANTS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC281017079L","EXXON MOBIL LUBRICANTS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC276485054L","EXXON MOBIL LUBRICANTS","US","BEAUMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC275468624L","EXXON MOBIL LUBRICANTS","US","BEAUMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC163759917L","EXXON MOBIL LUBRICANTS TRADING","US","FAIRFAX","n.a.","n.a.","n.a.","n.a.","n.a."
